# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 3.04299491539138e-09, Chi^2 = 427.738223799481
#  q       exp_intensity   error model_intensity
0.20384100 11.23989964     3.35259008 4.60326648     
0.20498200 11.24960041     3.35403991 4.06879077     
0.20613100 11.26220036     3.35593009 3.56534612     
0.20728600 11.29549980     3.36086988 3.10120535     
0.20844699 11.27219963     3.35739994 2.67962385     
0.20961501 11.06579971     3.32652998 2.29894241     
0.21078900 10.92210007     3.30486989 1.96254713     
0.21197000 10.87559986     3.29782009 1.67221807     
0.21315700 10.88780022     3.29966998 1.42444769     
0.21435100 10.58990002     3.25422001 1.23127308     
0.21555200 10.79319954     3.28529000 1.08168651     
0.21675999 10.62020016     3.25886011 0.97668645     
0.21797401 10.55340004     3.24860001 0.91458755     
0.21919499 10.35410023     3.21778989 0.89674227     
0.22042300 10.42609978     3.22895002 0.91673115     
0.22165801 10.35270023     3.21756005 0.97426374     
0.22289900 10.39570045     3.22424006 1.06383787     
0.22414801 10.13529968     3.18359995 1.18599891     
0.22540399 10.18570042     3.19149995 1.33497496     
0.22666700 9.96942043      3.15743995 1.50780619     
0.22793600 9.93299961      3.15166998 1.70031313     
0.22921300 10.12609959     3.18215990 1.90553453     
0.23049700 9.82944012      3.13519001 2.12399831     
0.23178899 9.89095020      3.14498997 2.34668521     
0.23308700 9.87559032      3.14253998 2.57682217     
0.23439300 9.90264988      3.14685011 2.79759846     
0.23570600 9.72846031      3.11905003 3.01534859     
0.23702601 9.72898960      3.11912990 3.22480077     
0.23835400 9.75022984      3.12254000 3.42099919     
0.23968901 9.59939957      3.09828997 3.59899137     
0.24103200 9.66506004      3.10887003 3.76081098     
0.24238200 9.56575012      3.09284997 3.89687818     
0.24374001 9.41903973      3.06904006 4.01180738     
0.24510600 9.46512985      3.07655001 4.10184639     
0.24647900 9.41291046      3.06804991 4.16096922     
0.24786000 9.25277042      3.04184008 4.19810137     
0.24924800 9.30900955      3.05106997 4.20216010     
0.25064400 9.17319012      3.02872992 4.17675912     
0.25204900 9.08047962      3.01338005 4.13137926     
0.25346100 9.19235992      3.03188992 4.05215679     
0.25488001 8.96438026      2.99406004 3.95064984     
0.25630799 9.08409977      3.01397991 3.82346063     
0.25774401 8.97797966      2.99633002 3.67812932     
0.25918800 9.08545017      3.01420999 3.51291633     
0.26064000 9.08403015      3.01396990 3.32666027     
0.26210001 8.92304039      2.98714995 3.13152700     
0.26356801 8.82022953      2.96989012 2.92365323     
0.26504499 8.73929977      2.95622993 2.70924864     
0.26653001 8.66028023      2.94284010 2.48764835     
0.26802301 8.69176960      2.94817996 2.26962609     
0.26952401 8.89500046      2.98245001 2.04997192     
0.27103400 8.69032955      2.94794011 1.83784912     
0.27255300 8.66860962      2.94425011 1.63347693     
0.27407899 8.52289009      2.91939998 1.43845687     
0.27561501 8.53979969      2.92229009 1.25679072     
0.27715901 8.48209953      2.91240001 1.09034907     
0.27871200 8.58753967      2.93044996 0.94185897     
0.28027299 8.53114033      2.92080998 0.81275116     
0.28184301 8.40215969      2.89864993 0.70205426     
0.28342199 8.43570042      2.90442991 0.61434993     
0.28501001 8.38901043      2.89637995 0.54259152     
0.28660601 8.39177036      2.89685011 0.49929651     
0.28821200 8.32266998      2.88490009 0.47225643     
0.28982601 8.20038033      2.86363006 0.46645641     
0.29144999 8.40688038      2.89946008 0.47773345     
0.29308301 8.43614960      2.90451002 0.50730743     
0.29472500 8.21407032      2.86601996 0.55327157     
0.29637599 8.31245995      2.88313007 0.61282458     
0.29803601 8.29759026      2.88054991 0.68246553     
0.29970601 8.33913040      2.88774991 0.76201525     
0.30138499 8.31820011      2.88413000 0.84574873     
0.30307299 8.22721004      2.86830997 0.93851810     
0.30477101 8.25004005      2.87228990 1.02866031     
0.30647799 8.22443008      2.86783004 1.11798951     
0.30819499 8.29298973      2.87976003 1.20521217     
0.30992201 8.31418037      2.88343000 1.28368694     
0.31165799 8.24131012      2.87076998 1.35633582     
0.31340399 8.28656006      2.87863994 1.41919870     
0.31515899 8.26708984      2.87525010 1.47029872     
0.31692499 8.14867020      2.85458994 1.50648121     
0.31869999 8.19935989      2.86345005 1.53098946     
0.32048601 8.22332001      2.86763000 1.53940518     
0.32228100 8.24071980      2.87066007 1.53622513     
0.32408699 8.31803036      2.88409996 1.51574453     
0.32590199 8.23254013      2.86924005 1.48111441     
0.32772800 8.30554008      2.88193011 1.43318382     
0.32956401 8.25759983      2.87360001 1.37305709     
0.33140999 8.20365047      2.86420012 1.30265408     
0.33326700 8.32779026      2.88579011 1.22081409     
0.33513400 8.53110981      2.92080998 1.13417610     
0.33701101 8.48939037      2.91366005 1.03883818     
0.33889899 8.48915005      2.91362000 0.94232525     
0.34079701 8.60031986      2.93263006 0.84370035     
0.34270701 8.61826992      2.93568993 0.74513859     
0.34462601 8.65437984      2.94182992 0.65017610     
0.34655699 8.66014957      2.94281006 0.56149826     
0.34849900 8.85614014      2.97592998 0.47796438     
0.35045099 8.80704975      2.96766996 0.40391605     
0.35241401 8.82590961      2.97083998 0.33928416     
0.35438800 8.77398014      2.96209002 0.28495719     
0.35637400 8.70001030      2.94957995 0.24260314     
0.35837001 8.79668045      2.96591997 0.21320178     
0.36037800 8.98855972      2.99809003 0.19576060     
0.36239699 8.77560043      2.96235991 0.19123752     
0.36442700 8.83934021      2.97309995 0.19741925     
0.36646801 8.84125042      2.97341990 0.21506247     
0.36852100 8.81336975      2.96872997 0.24219821     
0.37058601 8.86242008      2.97697997 0.27745207     
0.37266201 8.89599037      2.98260999 0.31691949     
0.37474900 8.80502033      2.96731997 0.36407594     
0.37684900 8.76587963      2.96072006 0.41428597     
0.37896001 8.90538025      2.98418999 0.46344850     
0.38108301 8.90678024      2.98442006 0.51028718     
0.38321799 8.84309959      2.97374010 0.55593147     
0.38536400 8.81451988      2.96893001 0.59643777     
0.38752300 8.73793030      2.95600009 0.62895123     
0.38969401 8.67029953      2.94454002 0.65467374     
0.39187700 8.78804016      2.96445990 0.67324282     
0.39407301 8.86061954      2.97668004 0.68062201     
0.39627999 8.85356998      2.97549009 0.67810335     
0.39850000 8.71461964      2.95204997 0.66570702     
0.40073299 8.76714993      2.96093988 0.64532817     
0.40297800 8.66835022      2.94421005 0.61408663     
0.40523499 8.74273014      2.95681000 0.57658134     
0.40750501 8.70705986      2.95076990 0.53386915     
0.40978801 8.74575996      2.95731997 0.48400037     
0.41208401 8.83028984      2.97158003 0.43444627     
0.41439199 8.80440044      2.96722007 0.38081508     
0.41671401 8.81853008      2.96959996 0.33043289     
0.41904801 8.72052002      2.95304990 0.28078763     
0.42139599 8.72943020      2.95456004 0.23671726     
0.42375600 8.79131031      2.96500993 0.19831930     
0.42613000 8.64659023      2.94051003 0.16659018     
0.42851701 8.69355965      2.94847989 0.14330016     
0.43091801 8.59193039      2.93120003 0.12920760     
0.43333200 8.66501045      2.94363999 0.12279436     
0.43575999 8.80578995      2.96745992 0.12597795     
0.43820101 8.67893982      2.94600010 0.13717772     
0.44065601 8.85229015      2.97528005 0.15465682     
0.44312400 8.73285007      2.95514011 0.17896293     
0.44560701 8.79827023      2.96619010 0.20603817     
0.44810301 8.74367046      2.95696998 0.23712764     
0.45061299 8.88171959      2.98022008 0.26843492     
0.45313701 8.74804020      2.95771003 0.29900163     
0.45567599 8.83051014      2.97162008 0.32605794     
0.45822901 8.92811012      2.98798990 0.34889892     
0.46079600 8.72597027      2.95396996 0.36536217     
0.46337700 8.80247021      2.96690011 0.37645408     
0.46597299 8.82820988      2.97123003 0.37913506     
0.46858299 8.85805988      2.97624993 0.37551039     
0.47120801 8.83504009      2.97237992 0.36259763     
0.47384799 8.92376995      2.98727012 0.34263755     
0.47650301 8.87257004      2.97868991 0.31685044     
0.47917199 8.91808987      2.98632002 0.28646907     
0.48185599 9.05167007      3.00860000 0.25242327     
0.48455599 8.93787956      2.98962998 0.21592274     
0.48727000 9.03722000      3.00620008 0.17936950     
