# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.71653273087347e-09, Chi^2 = 279.073721159316
#  q       exp_intensity   error model_intensity
0.14336500 26.32299995     5.13058996 29.04297530    
0.14416800 25.58169937     5.05783987 28.80012073    
0.14497600 25.61689949     5.06130981 28.42642579    
0.14578800 24.74959946     4.97489977 27.91678514    
0.14660500 24.56599998     4.95640993 27.29124785    
0.14742599 24.17840004     4.91715002 26.56175134    
0.14825200 23.62689972     4.86075020 25.73008351    
0.14908201 23.38409996     4.83571005 24.79611786    
0.14991800 22.71990013     4.76654005 23.77870474    
0.15075700 22.61249924     4.75525999 22.67407579    
0.15160200 22.02499962     4.69307995 21.50298716    
0.15245099 21.50300026     4.63713980 20.27589837    
0.15330499 21.45700073     4.63217020 19.00376376    
0.15416400 21.24640083     4.60937977 17.69982316    
0.15502800 20.08639908     4.48179007 16.36790617    
0.15589599 20.21780014     4.49641991 15.02876487    
0.15676901 19.68320084     4.43658018 13.70089115    
0.15764800 19.22820091     4.38499022 12.38631090    
0.15853100 18.61079979     4.31402016 11.09892136    
0.15941900 18.68400002     4.32250023 9.85067817     
0.16031200 18.58729935     4.31129980 8.65198896     
0.16121000 18.35779953     4.28459978 7.51306985     
0.16211300 17.81010056     4.22021008 6.44952747     
0.16302100 17.51309967     4.18486023 5.45266926     
0.16393501 17.50200081     4.18353987 4.56306198     
0.16485301 17.25790024     4.15426016 3.76391311     
0.16577700 16.84709930     4.10451984 3.06457691     
0.16670500 16.69930077     4.08648014 2.46253135     
0.16763900 16.56220055     4.06967020 1.97008253     
0.16857800 16.05830002     4.00727987 1.58332388     
0.16952300 15.91609955     3.98950005 1.30171612     
0.17047200 15.54769993     3.94305992 1.12673960     
0.17142700 15.70740032     3.96325994 1.05473949     
0.17238800 15.42310047     3.92722011 1.08057085     
0.17335300 14.99079990     3.87179995 1.19887831     
0.17432401 14.85779953     3.85457993 1.40761216     
0.17530100 14.78929996     3.84569001 1.69568861     
0.17628300 14.70699978     3.83497000 2.05292140     
0.17727099 14.54469967     3.81375003 2.47477505     
0.17826401 14.08409977     3.75288010 2.94854738     
0.17926200 13.77000046     3.71079993 3.46359386     
0.18026701 13.85760021     3.72257996 4.01274687     
0.18127599 13.96850014     3.73744988 4.58202397     
0.18229200 13.91329956     3.73005009 5.15678040     
0.18331300 13.67570019     3.69806004 5.73127253     
0.18434000 13.12310028     3.62259007 6.29050003     
0.18537299 13.33349991     3.65151000 6.82447905     
0.18641099 13.11750031     3.62180996 7.32591714     
0.18745600 13.02540016     3.60907006 7.78587566     
0.18850601 12.95979977     3.59997010 8.19098796     
0.18956199 12.68640041     3.56180000 8.54010227     
0.19062400 12.55819988     3.54375005 8.82534377     
0.19169199 12.36690044     3.51665998 9.03903185     
0.19276500 12.29930019     3.50704002 9.18350861     
0.19384500 12.09770012     3.47816992 9.24900872     
0.19493100 12.09140015     3.47726989 9.24201359     
0.19602300 12.08069992     3.47572994 9.15798264     
0.19712099 11.72869968     3.42471004 8.99026398     
0.19822600 11.96689987     3.45933008 8.75855431     
0.19933601 11.80720043     3.43617010 8.45379793     
0.20045300 11.74009991     3.42637992 8.09530239     
0.20157599 11.51860046     3.39390993 7.68061426     
0.20270500 11.24320030     3.35308003 7.21898020     
0.20384100 11.23989964     3.35259008 6.71641314     
0.20498200 11.24960041     3.35403991 6.19025353     
0.20613100 11.26220036     3.35593009 5.63432430     
0.20728600 11.29549980     3.36086988 5.06849819     
0.20844699 11.27219963     3.35739994 4.50441495     
0.20961501 11.06579971     3.32652998 3.94727051     
0.21078900 10.92210007     3.30486989 3.40790679     
0.21197000 10.87559986     3.29782009 2.89529307     
0.21315700 10.88780022     3.29966998 2.40979670     
0.21435100 10.58990002     3.25422001 1.97756587     
0.21555200 10.79319954     3.28529000 1.59023881     
0.21675999 10.62020016     3.25886011 1.25509201     
0.21797401 10.55340004     3.24860001 0.97622309     
0.21919499 10.35410023     3.21778989 0.76078497     
0.22042300 10.42609978     3.22895002 0.60453141     
0.22165801 10.35270023     3.21756005 0.50961896     
0.22289900 10.39570045     3.22424006 0.47255589     
0.22414801 10.13529968     3.18359995 0.49584609     
0.22540399 10.18570042     3.19149995 0.57316221     
0.22666700 9.96942043      3.15743995 0.69953108     
0.22793600 9.93299961      3.15166998 0.86810982     
0.22921300 10.12609959     3.18215990 1.07113838     
0.23049700 9.82944012      3.13519001 1.30514984     
0.23178899 9.89095020      3.14498997 1.55649082     
0.23308700 9.87559032      3.14253998 1.82687482     
0.23439300 9.90264988      3.14685011 2.09031951     
0.23570600 9.72846031      3.11905003 2.35220719     
0.23702601 9.72898960      3.11912990 2.60308395     
0.23835400 9.75022984      3.12254000 2.83157454     
0.23968901 9.59939957      3.09828997 3.03093764     
0.24103200 9.66506004      3.10887003 3.20132711     
0.24238200 9.56575012      3.09284997 3.32681348     
0.24374001 9.41903973      3.06904006 3.41524415     
0.24510600 9.46512985      3.07655001 3.45921824     
0.24647900 9.41291046      3.06804991 3.45205491     
0.24786000 9.25277042      3.04184008 3.40675750     
0.24924800 9.30900955      3.05106997 3.31153629     
0.25064400 9.17319012      3.02872992 3.17330356     
0.25204900 9.08047962      3.01338005 3.00669973     
0.25346100 9.19235992      3.03188992 2.79949989     
0.25488001 8.96438026      2.99406004 2.56880647     
0.25630799 9.08409977      3.01397991 2.31644894     
0.25774401 8.97797966      2.99633002 2.05465802     
0.25918800 9.08545017      3.01420999 1.78737767     
0.26064000 9.08403015      3.01396990 1.51697190     
0.26210001 8.92304039      2.98714995 1.26050484     
0.26356801 8.82022953      2.96989012 1.01989979     
0.26504499 8.73929977      2.95622993 0.80155826     
0.26653001 8.66028023      2.94284010 0.61102264     
0.26802301 8.69176960      2.94817996 0.45536979     
0.26952401 8.89500046      2.98245001 0.33430946     
0.27103400 8.69032955      2.94794011 0.25235165     
0.27255300 8.66860962      2.94425011 0.21275571     
0.27407899 8.52289009      2.91939998 0.20680420     
0.27561501 8.53979969      2.92229009 0.24115710     
0.27715901 8.48209953      2.91240001 0.30841512     
0.27871200 8.58753967      2.93044996 0.40650430     
0.28027299 8.53114033      2.92080998 0.53020710     
0.28184301 8.40215969      2.89864993 0.67172738     
0.28342199 8.43570042      2.90442991 0.82809785     
0.28501001 8.38901043      2.89637995 0.98530553     
0.28660601 8.39177036      2.89685011 1.14906006     
0.28821200 8.32266998      2.88490009 1.30066583     
0.28982601 8.20038033      2.86363006 1.44026655     
0.29144999 8.40688038      2.89946008 1.55672663     
0.29308301 8.43614960      2.90451002 1.65271873     
0.29472500 8.21407032      2.86601996 1.71869780     
0.29637599 8.31245995      2.88313007 1.75492231     
0.29803601 8.29759026      2.88054991 1.75929281     
0.29970601 8.33913040      2.88774991 1.73023398     
0.30138499 8.31820011      2.88413000 1.66804327     
0.30307299 8.22721004      2.86830997 1.58570855     
0.30477101 8.25004005      2.87228990 1.47197172     
0.30647799 8.22443008      2.86783004 1.33960453     
0.30819499 8.29298973      2.87976003 1.19476065     
0.30992201 8.31418037      2.88343000 1.03687201     
0.31165799 8.24131012      2.87076998 0.88036115     
0.31340399 8.28656006      2.87863994 0.72725338     
0.31515899 8.26708984      2.87525010 0.58262180     
0.31692499 8.14867020      2.85458994 0.45077540     
0.31869999 8.19935989      2.86345005 0.34221770     
0.32048601 8.22332001      2.86763000 0.25424002     
0.32228100 8.24071980      2.87066007 0.19485926     
0.32408699 8.31803036      2.88409996 0.15899051     
0.32590199 8.23254013      2.86924005 0.15149531     
0.32772800 8.30554008      2.88193011 0.16952801     
0.32956401 8.25759983      2.87360001 0.21118348     
0.33140999 8.20365047      2.86420012 0.27243642     
0.33326700 8.32779026      2.88579011 0.34628399     
0.33513400 8.53110981      2.92080998 0.43403724     
0.33701101 8.48939037      2.91366005 0.52189870     
0.33889899 8.48915005      2.91362000 0.61211895     
0.34079701 8.60031986      2.93263006 0.69434774     
0.34270701 8.61826992      2.93568993 0.76428557     
0.34462601 8.65437984      2.94182992 0.81925033     
0.34655699 8.66014957      2.94281006 0.85658555     
0.34849900 8.85614014      2.97592998 0.87068820     
0.35045099 8.80704975      2.96766996 0.86404311     
0.35241401 8.82590961      2.97083998 0.83499797     
0.35438800 8.77398014      2.96209002 0.78504285     
0.35637400 8.70001030      2.94957995 0.71774576     
0.35837001 8.79668045      2.96591997 0.63694024     
0.36037800 8.98855972      2.99809003 0.54628440     
0.36239699 8.77560043      2.96235991 0.45185629     
0.36442700 8.83934021      2.97309995 0.35685169     
0.36646801 8.84125042      2.97341990 0.26910613     
0.36852100 8.81336975      2.96872997 0.19117075     
0.37058601 8.86242008      2.97697997 0.12731951     
0.37266201 8.89599037      2.98260999 0.07836758     
0.37474900 8.80502033      2.96731997 0.05251661     
0.37684900 8.76587963      2.96072006 0.04647237     
0.37896001 8.90538025      2.98418999 0.05816476     
0.38108301 8.90678024      2.98442006 0.08622473     
0.38321799 8.84309959      2.97374010 0.13208225     
0.38536400 8.81451988      2.96893001 0.18884284     
0.38752300 8.73793030      2.95600009 0.25081574     
0.38969401 8.67029953      2.94454002 0.31604681     
0.39187700 8.78804016      2.96445990 0.38049481     
0.39407301 8.86061954      2.97668004 0.43580542     
0.39627999 8.85356998      2.97549009 0.48036719     
0.39850000 8.71461964      2.95204997 0.51057693     
0.40073299 8.76714993      2.96093988 0.52692761     
0.40297800 8.66835022      2.94421005 0.52419878     
0.40523499 8.74273014      2.95681000 0.50560513     
0.40750501 8.70705986      2.95076990 0.47377216     
0.40978801 8.74575996      2.95731997 0.42656935     
0.41208401 8.83028984      2.97158003 0.37543501     
0.41439199 8.80440044      2.96722007 0.31513172     
0.41671401 8.81853008      2.96959996 0.25797476     
0.41904801 8.72052002      2.95304990 0.20143579     
0.42139599 8.72943020      2.95456004 0.15473830     
0.42375600 8.79131031      2.96500993 0.11847745     
0.42613000 8.64659023      2.94051003 0.09446933     
0.42851701 8.69355965      2.94847989 0.08470657     
0.43091801 8.59193039      2.93120003 0.08969659     
0.43333200 8.66501045      2.94363999 0.10586449     
0.43575999 8.80578995      2.96745992 0.13346043     
0.43820101 8.67893982      2.94600010 0.16844899     
0.44065601 8.85229015      2.97528005 0.20554144     
0.44312400 8.73285007      2.95514011 0.24388048     
0.44560701 8.79827023      2.96619010 0.27625934     
0.44810301 8.74367046      2.95696998 0.30316688     
0.45061299 8.88171959      2.98022008 0.31901639     
0.45313701 8.74804020      2.95771003 0.32396275     
0.45567599 8.83051014      2.97162008 0.31574735     
0.45822901 8.92811012      2.98798990 0.29651011     
0.46079600 8.72597027      2.95396996 0.26680029     
0.46337700 8.80247021      2.96690011 0.23195946     
0.46597299 8.82820988      2.97123003 0.19162853     
0.46858299 8.85805988      2.97624993 0.15317735     
0.47120801 8.83504009      2.97237992 0.11572271     
0.47384799 8.92376995      2.98727012 0.08474593     
0.47650301 8.87257004      2.97868991 0.06227443     
0.47917199 8.91808987      2.98632002 0.05114660     
0.48185599 9.05167007      3.00860000 0.05043490     
0.48455599 8.93787956      2.98962998 0.05896259     
0.48727000 9.03722000      3.00620008 0.07600250     
