# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 2.77746452349830e-09, Chi^2 = 317.267267151599
#  q       exp_intensity   error model_intensity
0.31692499 8.14867020      2.85458994 1.62980333     
0.31869999 8.19935989      2.86345005 1.58404715     
0.32048601 8.22332001      2.86763000 1.51594913     
0.32228100 8.24071980      2.87066007 1.43176538     
0.32408699 8.31803036      2.88409996 1.32645116     
0.32590199 8.23254013      2.86924005 1.20631138     
0.32772800 8.30554008      2.88193011 1.07432284     
0.32956401 8.25759983      2.87360001 0.93598895     
0.33140999 8.20365047      2.86420012 0.79616131     
0.33326700 8.32779026      2.88579011 0.65691821     
0.33513400 8.53110981      2.92080998 0.52935751     
0.33701101 8.48939037      2.91366005 0.41058857     
0.33889899 8.48915005      2.91362000 0.31229497     
0.34079701 8.60031986      2.93263006 0.23323790     
0.34270701 8.61826992      2.93568993 0.17544953     
0.34462601 8.65437984      2.94182992 0.14189808     
0.34655699 8.66014957      2.94281006 0.13263792     
0.34849900 8.85614014      2.97592998 0.14311966     
0.35045099 8.80704975      2.96766996 0.17389761     
0.35241401 8.82590961      2.97083998 0.21960124     
0.35438800 8.77398014      2.96209002 0.27613770     
0.35637400 8.70001030      2.94957995 0.33971720     
0.35837001 8.79668045      2.96591997 0.40601507     
0.36037800 8.98855972      2.99809003 0.46948400     
0.36239699 8.77560043      2.96235991 0.52712534     
0.36442700 8.83934021      2.97309995 0.57391190     
0.36646801 8.84125042      2.97341990 0.60937945     
0.36852100 8.81336975      2.96872997 0.63097587     
0.37058601 8.86242008      2.97697997 0.63884904     
0.37266201 8.89599037      2.98260999 0.63113799     
0.37474900 8.80502033      2.96731997 0.61608026     
0.37684900 8.76587963      2.96072006 0.59285892     
0.37896001 8.90538025      2.98418999 0.56266130     
0.38108301 8.90678024      2.98442006 0.52961219     
0.38321799 8.84309959      2.97374010 0.50134669     
0.38536400 8.81451988      2.96893001 0.47839542     
0.38752300 8.73793030      2.95600009 0.46191186     
0.38969401 8.67029953      2.94454002 0.45666246     
0.39187700 8.78804016      2.96445990 0.46412620     
0.39407301 8.86061954      2.97668004 0.48084863     
0.39627999 8.85356998      2.97549009 0.50751494     
0.39850000 8.71461964      2.95204997 0.54125433     
0.40073299 8.76714993      2.96093988 0.58118129     
0.40297800 8.66835022      2.94421005 0.61979668     
0.40523499 8.74273014      2.95681000 0.65713615     
0.40750501 8.70705986      2.95076990 0.68949374     
0.40978801 8.74575996      2.95731997 0.70925064     
0.41208401 8.83028984      2.97158003 0.72106562     
0.41439199 8.80440044      2.96722007 0.71488839     
0.41671401 8.81853008      2.96959996 0.69754860     
0.41904801 8.72052002      2.95304990 0.66416084     
0.42139599 8.72943020      2.95456004 0.61942755     
0.42375600 8.79131031      2.96500993 0.56530126     
0.42613000 8.64659023      2.94051003 0.50406629     
0.42851701 8.69355965      2.94847989 0.44034146     
0.43091801 8.59193039      2.93120003 0.37873374     
0.43333200 8.66501045      2.94363999 0.32009154     
0.43575999 8.80578995      2.96745992 0.27035611     
0.43820101 8.67893982      2.94600010 0.23051713     
0.44065601 8.85229015      2.97528005 0.20064934     
0.44312400 8.73285007      2.95514011 0.18337787     
0.44560701 8.79827023      2.96619010 0.17485646     
0.44810301 8.74367046      2.95696998 0.17646721     
0.45061299 8.88171959      2.98022008 0.18353889     
0.45313701 8.74804020      2.95771003 0.19434555     
0.45567599 8.83051014      2.97162008 0.20470130     
0.45822901 8.92811012      2.98798990 0.21287969     
0.46079600 8.72597027      2.95396996 0.21605674     
0.46337700 8.80247021      2.96690011 0.21513714     
0.46597299 8.82820988      2.97123003 0.20676905     
0.46858299 8.85805988      2.97624993 0.19474240     
0.47120801 8.83504009      2.97237992 0.17621789     
0.47384799 8.92376995      2.98727012 0.15567512     
0.47650301 8.87257004      2.97868991 0.13566766     
0.47917199 8.91808987      2.98632002 0.11911805     
0.48185599 9.05167007      3.00860000 0.10753918     
0.48455599 8.93787956      2.98962998 0.10245909     
0.48727000 9.03722000      3.00620008 0.10528837     
