# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.10796449543332e-09, Chi^2 = 92.9504634306682
#  q       exp_intensity   error model_intensity
0.31869999 8.19935989      2.86345005 2.24079417     
0.32048601 8.22332001      2.86763000 2.09302643     
0.32228100 8.24071980      2.87066007 1.90188823     
0.32408699 8.31803036      2.88409996 1.66417849     
0.32590199 8.23254013      2.86924005 1.40715811     
0.32772800 8.30554008      2.88193011 1.13444889     
0.32956401 8.25759983      2.87360001 0.88079903     
0.33140999 8.20365047      2.86420012 0.65046930     
0.33326700 8.32779026      2.88579011 0.45600683     
0.33513400 8.53110981      2.92080998 0.32356884     
0.33701101 8.48939037      2.91366005 0.23509517     
0.33889899 8.48915005      2.91362000 0.21810503     
0.34079701 8.60031986      2.93263006 0.25565993     
0.34270701 8.61826992      2.93568993 0.34109610     
0.34462601 8.65437984      2.94182992 0.47136923     
0.34655699 8.66014957      2.94281006 0.62468944     
0.34849900 8.85614014      2.97592998 0.78479294     
0.35045099 8.80704975      2.96766996 0.94211737     
0.35241401 8.82590961      2.97083998 1.07607577     
0.35438800 8.77398014      2.96209002 1.17416780     
0.35637400 8.70001030      2.94957995 1.22763593     
0.35837001 8.79668045      2.96591997 1.23098747     
0.36037800 8.98855972      2.99809003 1.18100533     
0.36239699 8.77560043      2.96235991 1.08536331     
0.36442700 8.83934021      2.97309995 0.94544494     
0.36646801 8.84125042      2.97341990 0.78622566     
0.36852100 8.81336975      2.96872997 0.60839522     
0.37058601 8.86242008      2.97697997 0.43248197     
0.37266201 8.89599037      2.98260999 0.27039958     
0.37474900 8.80502033      2.96731997 0.14816270     
0.37684900 8.76587963      2.96072006 0.06486603     
0.37896001 8.90538025      2.98418999 0.02607149     
0.38108301 8.90678024      2.98442006 0.02984352     
0.38321799 8.84309959      2.97374010 0.09020622     
0.38536400 8.81451988      2.96893001 0.18683540     
0.38752300 8.73793030      2.95600009 0.30565567     
0.38969401 8.67029953      2.94454002 0.44291156     
0.39187700 8.78804016      2.96445990 0.57982908     
0.39407301 8.86061954      2.97668004 0.69896254     
0.39627999 8.85356998      2.97549009 0.79018703     
0.39850000 8.71461964      2.95204997 0.84314675     
0.40073299 8.76714993      2.96093988 0.86140922     
0.40297800 8.66835022      2.94421005 0.83385970     
0.40523499 8.74273014      2.95681000 0.76825979     
0.40750501 8.70705986      2.95076990 0.68006043     
0.40978801 8.74575996      2.95731997 0.56194361     
0.41208401 8.83028984      2.97158003 0.45923211     
0.41439199 8.80440044      2.96722007 0.34824815     
0.41671401 8.81853008      2.96959996 0.26803375     
0.41904801 8.72052002      2.95304990 0.20909706     
0.42139599 8.72943020      2.95456004 0.19067849     
0.42375600 8.79131031      2.96500993 0.20738092     
0.42613000 8.64659023      2.94051003 0.25353034     
0.42851701 8.69355965      2.94847989 0.32416845     
0.43091801 8.59193039      2.93120003 0.41255408     
0.43333200 8.66501045      2.94363999 0.49692402     
0.43575999 8.80578995      2.96745992 0.57219903     
0.43820101 8.67893982      2.94600010 0.62537874     
0.44065601 8.85229015      2.97528005 0.64217847     
0.44312400 8.73285007      2.95514011 0.63056104     
0.44560701 8.79827023      2.96619010 0.57999364     
0.44810301 8.74367046      2.95696998 0.50575046     
0.45061299 8.88171959      2.98022008 0.40713011     
0.45313701 8.74804020      2.95771003 0.30298818     
0.45567599 8.83051014      2.97162008 0.20241151     
